"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-22",,,,,,,,,,,"22",",,U","26","H,,U","19","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-23",,,,,,,,,,,"21",",,U","23","H,,U","19","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-24",,,,,,,,,,,"21",",,U","24","H,,U","17","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-25",,,,,,,,,,,"19",",,U","28","H,,U","16","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-26",,,,,,,,,,,"20",",,U","28","H,,U","16","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-27",,,,,,,,,,,"20",",,U","26","H,,U","16","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-28",,,,,,,,,,,"20",",,U","30","H,,U","15","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-29",,,,,,,,,,,"23",",,U","28","H,,U","18","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-30",,,,,,,,,,,"27",",,U","31","H,,U","20","H,,U"
"USR0000MPOI","POINT 6 MONTANA, MT US","47.0411","-113.9792","2414.0","2016-03-31",,,,,,,,,,,"29",",,U","33","H,,U","27","H,,U"
