"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-15","6.71",",,W",,,"0.03",",,W,2400","0.6",",,W","0.0",",,W","35","H,,S","44",",,W","30",",,W","  250",",,W","  260",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-16","3.58",",,W",,,"0.05",",,W,2400","0.3",",,W","0.0",",,W","34","H,,S","41",",,W","27",",,W","  330",",,W","  340",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-17","4.92",",,W",,,"0.14",",,W,2400","1.0",",,W","1.2",",,W","32","H,,S","40",",,W","26",",,W","   90",",,W","   90",",,W","18.1",",,W","23.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-18","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","30","H,,S","44",",,W","19",",,W","  120",",,W","  120",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-19","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","33","H,,S","54",",,W","20",",,W","  110",",,W","  110",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-20","2.01",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","40","H,,S","66",",,W","24",",,W","   50",",,W","  180",",,W","8.1",",,W","11.0",",,W",,,,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-21","6.71",",,W",,,"0.06",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","58",",,W","35",",,W","  280",",,W","  290",",,W","23.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-22","5.59",",,W",,,"0.05",",,W,2400","0.0","T,,W","0.0",",,W","42","H,,S","48",",,W","32",",,W","  260",",,W","  250",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-23","5.14",",,W",,,"0.01",",,W,2400","0.0","T,,W","0.0",",,W","39","H,,S","51",",,W","31",",,W","  250",",,W","  240",",,W","23.0",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","46.92076","-114.09376","973.8","2016-03-24","10.51",",,W",,,"0.02",",,W,2400","0.0","T,,W","0.0",",,W","43","H,,S","49",",,W","36",",,W","  260",",,W","  260",",,W","28.0",",,W","38.9",",,W",,,,,,,"    1",",,W",,,,,,,,
