1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: D73B200002677721
Is Mission Active?  true
Mission Start:  Mon Mar 28 17:12:00 MDT 2016
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  99662
Total Samples:  189648
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
3/28/16 5:12:00 PM,C,23.5
3/28/16 5:17:00 PM,C,23
3/28/16 5:22:00 PM,C,22.625
3/28/16 5:27:00 PM,C,22.25
3/28/16 5:32:00 PM,C,22.125
3/28/16 5:37:00 PM,C,22
3/28/16 5:42:00 PM,C,21.875
3/28/16 5:47:00 PM,C,21.75
3/28/16 5:52:00 PM,C,21.75
3/28/16 5:57:00 PM,C,21.875
3/28/16 6:02:00 PM,C,22
3/28/16 6:07:00 PM,C,22.125
3/28/16 6:12:00 PM,C,22.125
3/28/16 6:17:00 PM,C,22.125
3/28/16 6:22:00 PM,C,22.125
3/28/16 6:27:00 PM,C,22.125
3/28/16 6:32:00 PM,C,22.125
3/28/16 6:37:00 PM,C,22.125
3/28/16 6:42:00 PM,C,22.125
3/28/16 6:47:00 PM,C,22.25
3/28/16 6:52:00 PM,C,22.25
3/28/16 6:57:00 PM,C,22.25
3/28/16 7:02:00 PM,C,22.25
3/28/16 7:07:00 PM,C,22.125
3/28/16 7:12:00 PM,C,22.125
3/28/16 7:17:00 PM,C,22.125
3/28/16 7:22:00 PM,C,22
3/28/16 7:27:00 PM,C,22
3/28/16 7:32:00 PM,C,21.875
3/28/16 7:37:00 PM,C,21.75
3/28/16 7:42:00 PM,C,21.625
3/28/16 7:47:00 PM,C,21.625
3/28/16 7:52:00 PM,C,21.5
3/28/16 7:57:00 PM,C,21.375
3/28/16 8:02:00 PM,C,21.25
3/28/16 8:07:00 PM,C,21.25
3/28/16 8:12:00 PM,C,21.125
3/28/16 8:17:00 PM,C,21
3/28/16 8:22:00 PM,C,20.875
3/28/16 8:27:00 PM,C,20.75
3/28/16 8:32:00 PM,C,20.625
3/28/16 8:37:00 PM,C,20.625
3/28/16 8:42:00 PM,C,20.5
3/28/16 8:47:00 PM,C,20.375
3/28/16 8:52:00 PM,C,20.25
3/28/16 8:57:00 PM,C,20.125
3/28/16 9:02:00 PM,C,20
3/28/16 9:07:00 PM,C,19.875
3/28/16 9:12:00 PM,C,19.75
3/28/16 9:17:00 PM,C,19.75
3/28/16 9:22:00 PM,C,18.625
3/28/16 9:27:00 PM,C,16
3/28/16 9:32:00 PM,C,12.5
3/28/16 9:37:00 PM,C,9.875
3/28/16 9:42:00 PM,C,6.5
3/28/16 9:47:00 PM,C,3.25
3/28/16 9:52:00 PM,C,1.5
3/28/16 9:57:00 PM,C,0.875
3/28/16 10:02:00 PM,C,0.5
3/28/16 10:07:00 PM,C,0.375
3/28/16 10:12:00 PM,C,0.375
3/28/16 10:17:00 PM,C,0.25
3/28/16 10:22:00 PM,C,0.375
3/28/16 10:27:00 PM,C,0.5
3/28/16 10:32:00 PM,C,0.5
3/28/16 10:37:00 PM,C,0.375
3/28/16 10:42:00 PM,C,0.375
3/28/16 10:47:00 PM,C,0.25
3/28/16 10:52:00 PM,C,0.125
3/28/16 10:57:00 PM,C,0
3/28/16 11:02:00 PM,C,-0.125
3/28/16 11:07:00 PM,C,-0.375
3/28/16 11:12:00 PM,C,-0.375
3/28/16 11:17:00 PM,C,-0.375
3/28/16 11:22:00 PM,C,-0.5
3/28/16 11:27:00 PM,C,-0.625
3/28/16 11:32:00 PM,C,-0.875
3/28/16 11:37:00 PM,C,-1
3/28/16 11:42:00 PM,C,-1.125
3/28/16 11:47:00 PM,C,-1.375
3/28/16 11:52:00 PM,C,-1.5
3/28/16 11:57:00 PM,C,-1.75
3/29/16 12:02:00 AM,C,-1.875
3/29/16 12:07:00 AM,C,-2.125
3/29/16 12:12:00 AM,C,-2.125
3/29/16 12:17:00 AM,C,-2.125
3/29/16 12:22:00 AM,C,-2.25
3/29/16 12:27:00 AM,C,-2.25
3/29/16 12:32:00 AM,C,-2.375
3/29/16 12:37:00 AM,C,-2.375
3/29/16 12:42:00 AM,C,-2.375
3/29/16 12:47:00 AM,C,-2.5
3/29/16 12:52:00 AM,C,-2.375
3/29/16 12:57:00 AM,C,-2.375
3/29/16 1:02:00 AM,C,-2.25
3/29/16 1:07:00 AM,C,-2.25
3/29/16 1:12:00 AM,C,-2.25
3/29/16 1:17:00 AM,C,-2.25
3/29/16 1:22:00 AM,C,-2.125
3/29/16 1:27:00 AM,C,-2.125
3/29/16 1:32:00 AM,C,-1.875
3/29/16 1:37:00 AM,C,-1.75
3/29/16 1:42:00 AM,C,-1.625
3/29/16 1:47:00 AM,C,-1.5
3/29/16 1:52:00 AM,C,-1.375
3/29/16 1:57:00 AM,C,-1.375
3/29/16 2:02:00 AM,C,-1.25
3/29/16 2:07:00 AM,C,-1.125
3/29/16 2:12:00 AM,C,-1
3/29/16 2:17:00 AM,C,-1
3/29/16 2:22:00 AM,C,-1
3/29/16 2:27:00 AM,C,-1
3/29/16 2:32:00 AM,C,-1
3/29/16 2:37:00 AM,C,-0.875
3/29/16 2:42:00 AM,C,-0.875
3/29/16 2:47:00 AM,C,-0.875
3/29/16 2:52:00 AM,C,-0.875
3/29/16 2:57:00 AM,C,-0.875
3/29/16 3:02:00 AM,C,-0.875
3/29/16 3:07:00 AM,C,-1
3/29/16 3:12:00 AM,C,-1
3/29/16 3:17:00 AM,C,-1
3/29/16 3:22:00 AM,C,-1
3/29/16 3:27:00 AM,C,-1
3/29/16 3:32:00 AM,C,-1
3/29/16 3:37:00 AM,C,-1
3/29/16 3:42:00 AM,C,-1
3/29/16 3:47:00 AM,C,-1
3/29/16 3:52:00 AM,C,-1
3/29/16 3:57:00 AM,C,-1.125
3/29/16 4:02:00 AM,C,-1.125
3/29/16 4:07:00 AM,C,-1.125
3/29/16 4:12:00 AM,C,-1.25
3/29/16 4:17:00 AM,C,-1.25
3/29/16 4:22:00 AM,C,-1.25
3/29/16 4:27:00 AM,C,-1.25
3/29/16 4:32:00 AM,C,-1.25
3/29/16 4:37:00 AM,C,-1.25
3/29/16 4:42:00 AM,C,-1.25
3/29/16 4:47:00 AM,C,-1.25
3/29/16 4:52:00 AM,C,-1.25
3/29/16 4:57:00 AM,C,-1.25
3/29/16 5:02:00 AM,C,-1.375
3/29/16 5:07:00 AM,C,-1.375
3/29/16 5:12:00 AM,C,-1.375
3/29/16 5:17:00 AM,C,-1.5
3/29/16 5:22:00 AM,C,-1.5
3/29/16 5:27:00 AM,C,-1.5
3/29/16 5:32:00 AM,C,-1.5
3/29/16 5:37:00 AM,C,-1.5
3/29/16 5:42:00 AM,C,-1.5
3/29/16 5:47:00 AM,C,-1.5
3/29/16 5:52:00 AM,C,-1.5
3/29/16 5:57:00 AM,C,-1.5
3/29/16 6:02:00 AM,C,-1.375
3/29/16 6:07:00 AM,C,-1.375
3/29/16 6:12:00 AM,C,-1.375
3/29/16 6:17:00 AM,C,-1.5
3/29/16 6:22:00 AM,C,-1.5
3/29/16 6:27:00 AM,C,-1.5
3/29/16 6:32:00 AM,C,-1.5
3/29/16 6:37:00 AM,C,-1.5
3/29/16 6:42:00 AM,C,-1.5
3/29/16 6:47:00 AM,C,-1.5
3/29/16 6:52:00 AM,C,-1.375
3/29/16 6:57:00 AM,C,-1.375
3/29/16 7:02:00 AM,C,-1.375
3/29/16 7:07:00 AM,C,-1.25
3/29/16 7:12:00 AM,C,-1.25
3/29/16 7:17:00 AM,C,-1.25
3/29/16 7:22:00 AM,C,-1.125
3/29/16 7:27:00 AM,C,-1.125
3/29/16 7:32:00 AM,C,-1.125
3/29/16 7:37:00 AM,C,-1.125
3/29/16 7:42:00 AM,C,-1.125
3/29/16 7:47:00 AM,C,-1.125
3/29/16 7:52:00 AM,C,-1.125
3/29/16 7:57:00 AM,C,-1.25
3/29/16 8:02:00 AM,C,-1.25
3/29/16 8:07:00 AM,C,-1.25
3/29/16 8:12:00 AM,C,-1.25
3/29/16 8:17:00 AM,C,-1.125
3/29/16 8:22:00 AM,C,-1.125
3/29/16 8:27:00 AM,C,-1.25
3/29/16 8:32:00 AM,C,-1.125
3/29/16 8:37:00 AM,C,-1.25
3/29/16 8:42:00 AM,C,-1.25
3/29/16 8:47:00 AM,C,-1.25
3/29/16 8:52:00 AM,C,-1.25
3/29/16 8:57:00 AM,C,-1.25
3/29/16 9:02:00 AM,C,-1.25
3/29/16 9:07:00 AM,C,-1.25
3/29/16 9:12:00 AM,C,-1.25
3/29/16 9:17:00 AM,C,-1.25
3/29/16 9:22:00 AM,C,-1.125
3/29/16 9:27:00 AM,C,-1.125
3/29/16 9:32:00 AM,C,-1.125
3/29/16 9:37:00 AM,C,-1
3/29/16 9:42:00 AM,C,-1
3/29/16 9:47:00 AM,C,-1
3/29/16 9:52:00 AM,C,-1
3/29/16 9:57:00 AM,C,-1
3/29/16 10:02:00 AM,C,-1
3/29/16 10:07:00 AM,C,-0.875
3/29/16 10:12:00 AM,C,-0.875
3/29/16 10:17:00 AM,C,-0.875
