1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 243B2000025EF521
Is Mission Active?  true
Mission Start:  Mon Mar 28 16:10:00 MDT 2016
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  49831
Total Samples:  128893
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
3/28/16 4:10:00 PM,C,23.5
3/28/16 4:20:00 PM,C,22
3/28/16 4:30:00 PM,C,22.625
3/28/16 4:40:00 PM,C,22.375
3/28/16 4:50:00 PM,C,22.25
3/28/16 5:00:00 PM,C,22.375
3/28/16 5:10:00 PM,C,22.375
3/28/16 5:20:00 PM,C,22.5
3/28/16 5:30:00 PM,C,22.5
3/28/16 5:40:00 PM,C,22.5
3/28/16 5:50:00 PM,C,22.625
3/28/16 6:00:00 PM,C,22.5
3/28/16 6:10:00 PM,C,22.375
3/28/16 6:20:00 PM,C,22.25
3/28/16 6:30:00 PM,C,22.125
3/28/16 6:40:00 PM,C,22
3/28/16 6:50:00 PM,C,21.75
3/28/16 7:00:00 PM,C,21.625
3/28/16 7:10:00 PM,C,21.375
3/28/16 7:20:00 PM,C,21.25
3/28/16 7:30:00 PM,C,21
3/28/16 7:40:00 PM,C,20.75
3/28/16 7:50:00 PM,C,20.5
3/28/16 8:00:00 PM,C,20.25
3/28/16 8:10:00 PM,C,20.125
3/28/16 8:20:00 PM,C,20
3/28/16 8:30:00 PM,C,14.5
3/28/16 8:40:00 PM,C,8.625
3/28/16 8:50:00 PM,C,2.25
3/28/16 9:00:00 PM,C,1
3/28/16 9:10:00 PM,C,0.75
3/28/16 9:20:00 PM,C,0.75
3/28/16 9:30:00 PM,C,1
3/28/16 9:40:00 PM,C,0.75
3/28/16 9:50:00 PM,C,0.625
3/28/16 10:00:00 PM,C,0.25
3/28/16 10:10:00 PM,C,-0.125
3/28/16 10:20:00 PM,C,-0.125
3/28/16 10:30:00 PM,C,-0.375
3/28/16 10:40:00 PM,C,-0.875
3/28/16 10:50:00 PM,C,-1.125
3/28/16 11:00:00 PM,C,-1.5
3/28/16 11:10:00 PM,C,-1.75
3/28/16 11:20:00 PM,C,-1.875
3/28/16 11:30:00 PM,C,-1.875
3/28/16 11:40:00 PM,C,-2
3/28/16 11:50:00 PM,C,-2
3/29/16 12:00:00 AM,C,-2
3/29/16 12:10:00 AM,C,-2
3/29/16 12:20:00 AM,C,-1.875
3/29/16 12:30:00 AM,C,-1.625
3/29/16 12:40:00 AM,C,-1.25
3/29/16 12:50:00 AM,C,-1
3/29/16 1:00:00 AM,C,-0.875
3/29/16 1:10:00 AM,C,-0.625
3/29/16 1:20:00 AM,C,-0.625
3/29/16 1:30:00 AM,C,-0.5
3/29/16 1:40:00 AM,C,-0.5
3/29/16 1:50:00 AM,C,-0.5
3/29/16 2:00:00 AM,C,-0.5
3/29/16 2:10:00 AM,C,-0.5
3/29/16 2:20:00 AM,C,-0.625
3/29/16 2:30:00 AM,C,-0.625
3/29/16 2:40:00 AM,C,-0.625
3/29/16 2:50:00 AM,C,-0.625
3/29/16 3:00:00 AM,C,-0.75
3/29/16 3:10:00 AM,C,-0.75
3/29/16 3:20:00 AM,C,-0.875
3/29/16 3:30:00 AM,C,-0.875
3/29/16 3:40:00 AM,C,-0.875
3/29/16 3:50:00 AM,C,-0.875
3/29/16 4:00:00 AM,C,-0.875
3/29/16 4:10:00 AM,C,-1
3/29/16 4:20:00 AM,C,-1.125
3/29/16 4:30:00 AM,C,-1.125
3/29/16 4:40:00 AM,C,-1.125
3/29/16 4:50:00 AM,C,-1
3/29/16 5:00:00 AM,C,-1
3/29/16 5:10:00 AM,C,-1
3/29/16 5:20:00 AM,C,-1.125
3/29/16 5:30:00 AM,C,-1.125
3/29/16 5:40:00 AM,C,-1.125
3/29/16 5:50:00 AM,C,-1
3/29/16 6:00:00 AM,C,-0.875
3/29/16 6:10:00 AM,C,-0.875
3/29/16 6:20:00 AM,C,-0.75
3/29/16 6:30:00 AM,C,-0.75
3/29/16 6:40:00 AM,C,-0.75
3/29/16 6:50:00 AM,C,-0.75
3/29/16 7:00:00 AM,C,-0.75
3/29/16 7:10:00 AM,C,-0.75
3/29/16 7:20:00 AM,C,-0.75
3/29/16 7:30:00 AM,C,-0.75
3/29/16 7:40:00 AM,C,-0.75
3/29/16 7:50:00 AM,C,-0.75
3/29/16 8:00:00 AM,C,-0.75
3/29/16 8:10:00 AM,C,-0.875
3/29/16 8:20:00 AM,C,-0.75
