1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 233B200002698821
Is Mission Active?  true
Mission Start:  Mon Mar 28 16:15:00 MDT 2016
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  99661
Total Samples:  2493367
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp, Low Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
3/28/16 4:15:00 PM,C,23.75
3/28/16 4:20:00 PM,C,22.75
3/28/16 4:25:00 PM,C,22.75
3/28/16 4:30:00 PM,C,22.375
3/28/16 4:35:00 PM,C,22.25
3/28/16 4:40:00 PM,C,22.125
3/28/16 4:45:00 PM,C,22.125
3/28/16 4:50:00 PM,C,22
3/28/16 4:55:00 PM,C,22
3/28/16 5:00:00 PM,C,22.125
3/28/16 5:05:00 PM,C,22.25
3/28/16 5:10:00 PM,C,22.25
3/28/16 5:15:00 PM,C,22.25
3/28/16 5:20:00 PM,C,22.375
3/28/16 5:25:00 PM,C,22.375
3/28/16 5:30:00 PM,C,22.375
3/28/16 5:35:00 PM,C,22.375
3/28/16 5:40:00 PM,C,22.5
3/28/16 5:45:00 PM,C,22.5
3/28/16 5:50:00 PM,C,22.5
3/28/16 5:55:00 PM,C,22.5
3/28/16 6:00:00 PM,C,22.5
3/28/16 6:05:00 PM,C,22.375
3/28/16 6:10:00 PM,C,22.25
3/28/16 6:15:00 PM,C,22.125
3/28/16 6:20:00 PM,C,22
3/28/16 6:25:00 PM,C,21.875
3/28/16 6:30:00 PM,C,21.75
3/28/16 6:35:00 PM,C,21.75
3/28/16 6:40:00 PM,C,21.625
3/28/16 6:45:00 PM,C,21.5
3/28/16 6:50:00 PM,C,21.375
3/28/16 6:55:00 PM,C,21.25
3/28/16 7:00:00 PM,C,21.125
3/28/16 7:05:00 PM,C,21
3/28/16 7:10:00 PM,C,20.875
3/28/16 7:15:00 PM,C,20.75
3/28/16 7:20:00 PM,C,20.75
3/28/16 7:25:00 PM,C,20.625
3/28/16 7:30:00 PM,C,20.5
3/28/16 7:35:00 PM,C,20.375
3/28/16 7:40:00 PM,C,20.25
3/28/16 7:45:00 PM,C,20.125
3/28/16 7:50:00 PM,C,20
3/28/16 7:55:00 PM,C,19.875
3/28/16 8:00:00 PM,C,19.75
3/28/16 8:05:00 PM,C,19.625
3/28/16 8:10:00 PM,C,19.625
3/28/16 8:15:00 PM,C,19.5
3/28/16 8:20:00 PM,C,19.5
3/28/16 8:25:00 PM,C,15.5
3/28/16 8:30:00 PM,C,12.25
3/28/16 8:35:00 PM,C,10.375
3/28/16 8:40:00 PM,C,8.875
