1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: CB3B200002691B21
Is Mission Active?  true
Mission Start:  Mon Mar 28 16:14:00 MDT 2016
Sample Rate:  Every 5 minute(s)
Number of Mission Samples:  99662
Total Samples:  189660
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp, Low Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
3/28/16 4:14:00 PM,C,23
3/28/16 4:19:00 PM,C,22.5
3/28/16 4:24:00 PM,C,22.5
3/28/16 4:29:00 PM,C,22.125
3/28/16 4:34:00 PM,C,22
3/28/16 4:39:00 PM,C,21.875
3/28/16 4:44:00 PM,C,21.875
3/28/16 4:49:00 PM,C,21.875
3/28/16 4:54:00 PM,C,21.875
3/28/16 4:59:00 PM,C,22
3/28/16 5:04:00 PM,C,22
3/28/16 5:09:00 PM,C,22.125
3/28/16 5:14:00 PM,C,22.125
3/28/16 5:19:00 PM,C,22.125
3/28/16 5:24:00 PM,C,22.125
3/28/16 5:29:00 PM,C,22.125
3/28/16 5:34:00 PM,C,22.125
3/28/16 5:39:00 PM,C,22.25
3/28/16 5:44:00 PM,C,22.25
3/28/16 5:49:00 PM,C,22.25
3/28/16 5:54:00 PM,C,22.25
3/28/16 5:59:00 PM,C,22.125
3/28/16 6:04:00 PM,C,22
3/28/16 6:09:00 PM,C,21.875
3/28/16 6:14:00 PM,C,21.75
3/28/16 6:19:00 PM,C,21.625
3/28/16 6:24:00 PM,C,21.5
3/28/16 6:29:00 PM,C,21.375
3/28/16 6:34:00 PM,C,21.25
3/28/16 6:39:00 PM,C,21.125
3/28/16 6:44:00 PM,C,21
3/28/16 6:49:00 PM,C,20.875
3/28/16 6:54:00 PM,C,20.75
3/28/16 6:59:00 PM,C,20.625
3/28/16 7:04:00 PM,C,20.5
3/28/16 7:09:00 PM,C,20.5
3/28/16 7:14:00 PM,C,20.375
3/28/16 7:19:00 PM,C,20.25
3/28/16 7:24:00 PM,C,20.125
3/28/16 7:29:00 PM,C,20
3/28/16 7:34:00 PM,C,19.875
3/28/16 7:39:00 PM,C,19.75
3/28/16 7:44:00 PM,C,19.625
3/28/16 7:49:00 PM,C,19.5
3/28/16 7:54:00 PM,C,19.375
3/28/16 7:59:00 PM,C,19.25
3/28/16 8:04:00 PM,C,19.125
3/28/16 8:09:00 PM,C,19.125
3/28/16 8:14:00 PM,C,19.125
3/28/16 8:19:00 PM,C,19
3/28/16 8:24:00 PM,C,14.75
3/28/16 8:29:00 PM,C,10.125
3/28/16 8:34:00 PM,C,6.75
3/28/16 8:39:00 PM,C,5
3/28/16 8:44:00 PM,C,4.75
3/28/16 8:49:00 PM,C,3.375
3/28/16 8:54:00 PM,C,4.625
3/28/16 8:59:00 PM,C,2
3/28/16 9:04:00 PM,C,0.25
3/28/16 9:09:00 PM,C,-0.5
3/28/16 9:14:00 PM,C,-0.875
3/28/16 9:19:00 PM,C,-0.75
3/28/16 9:24:00 PM,C,-0.5
3/28/16 9:29:00 PM,C,-0.375
3/28/16 9:34:00 PM,C,-0.5
3/28/16 9:39:00 PM,C,-1
3/28/16 9:44:00 PM,C,-1.25
3/28/16 9:49:00 PM,C,-1.375
3/28/16 9:54:00 PM,C,-1.75
3/28/16 9:59:00 PM,C,-2.25
3/28/16 10:04:00 PM,C,-2.5
3/28/16 10:09:00 PM,C,-2.75
3/28/16 10:14:00 PM,C,-3
3/28/16 10:19:00 PM,C,-3.25
3/28/16 10:24:00 PM,C,-3.375
3/28/16 10:29:00 PM,C,-3.5
3/28/16 10:34:00 PM,C,-3.75
3/28/16 10:39:00 PM,C,-4
3/28/16 10:44:00 PM,C,-4.125
3/28/16 10:49:00 PM,C,-4.125
3/28/16 10:54:00 PM,C,-4.25
3/28/16 10:59:00 PM,C,-4.375
3/28/16 11:04:00 PM,C,-4.5
3/28/16 11:09:00 PM,C,-4.5
3/28/16 11:14:00 PM,C,-4.5
