1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: 863B2000025A0F21
Is Mission Active?  true
Mission Start:  Mon Mar 28 16:09:00 MDT 2016
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  49830
Total Samples:  132153
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
3/28/16 4:09:00 PM,C,23.75
3/28/16 4:19:00 PM,C,22.5
3/28/16 4:29:00 PM,C,22.875
3/28/16 4:39:00 PM,C,22.625
3/28/16 4:49:00 PM,C,22.5
3/28/16 4:59:00 PM,C,22.5
3/28/16 5:09:00 PM,C,22.5
3/28/16 5:19:00 PM,C,22.5
3/28/16 5:29:00 PM,C,22.625
3/28/16 5:39:00 PM,C,22.625
3/28/16 5:49:00 PM,C,22.75
3/28/16 5:59:00 PM,C,22.75
3/28/16 6:09:00 PM,C,22.625
3/28/16 6:19:00 PM,C,22.5
3/28/16 6:29:00 PM,C,22.375
3/28/16 6:39:00 PM,C,22.125
3/28/16 6:49:00 PM,C,22
3/28/16 6:59:00 PM,C,21.75
3/28/16 7:09:00 PM,C,21.625
3/28/16 7:19:00 PM,C,21.375
3/28/16 7:29:00 PM,C,21.125
3/28/16 7:39:00 PM,C,21
3/28/16 7:49:00 PM,C,20.75
3/28/16 7:59:00 PM,C,20.5
3/28/16 8:09:00 PM,C,20.25
3/28/16 8:19:00 PM,C,20.25
3/28/16 8:29:00 PM,C,15.625
3/28/16 8:39:00 PM,C,8.875
3/28/16 8:49:00 PM,C,4.625
3/28/16 8:59:00 PM,C,3.5
3/28/16 9:09:00 PM,C,3
3/28/16 9:19:00 PM,C,2.625
3/28/16 9:29:00 PM,C,2.375
3/28/16 9:39:00 PM,C,2.125
3/28/16 9:49:00 PM,C,1.875
3/28/16 9:59:00 PM,C,1.75
3/28/16 10:09:00 PM,C,1.375
3/28/16 10:19:00 PM,C,1.125
3/28/16 10:29:00 PM,C,1
3/28/16 10:39:00 PM,C,0.75
3/28/16 10:49:00 PM,C,0.625
3/28/16 10:59:00 PM,C,0.375
3/28/16 11:09:00 PM,C,0.125
3/28/16 11:19:00 PM,C,0
3/28/16 11:29:00 PM,C,-0.125
3/28/16 11:39:00 PM,C,-0.125
3/28/16 11:49:00 PM,C,-0.25
3/28/16 11:59:00 PM,C,-0.25
3/29/16 12:09:00 AM,C,-0.25
3/29/16 12:19:00 AM,C,-0.25
3/29/16 12:29:00 AM,C,-0.125
3/29/16 12:39:00 AM,C,0
3/29/16 12:49:00 AM,C,0.25
3/29/16 12:59:00 AM,C,0.375
3/29/16 1:09:00 AM,C,0.5
3/29/16 1:19:00 AM,C,0.625
3/29/16 1:29:00 AM,C,0.75
3/29/16 1:39:00 AM,C,0.875
3/29/16 1:49:00 AM,C,0.875
3/29/16 1:59:00 AM,C,1
3/29/16 2:09:00 AM,C,1
3/29/16 2:19:00 AM,C,1
3/29/16 2:29:00 AM,C,1
3/29/16 2:39:00 AM,C,0.875
3/29/16 2:49:00 AM,C,0.875
3/29/16 2:59:00 AM,C,1
3/29/16 3:09:00 AM,C,1
3/29/16 3:19:00 AM,C,1
3/29/16 3:29:00 AM,C,1.125
3/29/16 3:39:00 AM,C,1.125
3/29/16 3:49:00 AM,C,1.125
3/29/16 3:59:00 AM,C,1.125
3/29/16 4:09:00 AM,C,1
3/29/16 4:19:00 AM,C,1
3/29/16 4:29:00 AM,C,1
3/29/16 4:39:00 AM,C,1
3/29/16 4:49:00 AM,C,1
3/29/16 4:59:00 AM,C,1
3/29/16 5:09:00 AM,C,1
3/29/16 5:19:00 AM,C,1
3/29/16 5:29:00 AM,C,0.875
3/29/16 5:39:00 AM,C,0.875
3/29/16 5:49:00 AM,C,0.875
3/29/16 5:59:00 AM,C,1
3/29/16 6:09:00 AM,C,0.875
3/29/16 6:19:00 AM,C,1
3/29/16 6:29:00 AM,C,0.875
3/29/16 6:39:00 AM,C,0.875
3/29/16 6:49:00 AM,C,0.875
3/29/16 6:59:00 AM,C,0.875
3/29/16 7:09:00 AM,C,0.875
3/29/16 7:19:00 AM,C,0.875
3/29/16 7:29:00 AM,C,0.875
3/29/16 7:39:00 AM,C,0.875
3/29/16 7:49:00 AM,C,0.875
3/29/16 7:59:00 AM,C,0.875
3/29/16 8:09:00 AM,C,0.875
3/29/16 8:19:00 AM,C,1
3/29/16 8:29:00 AM,C,1
3/29/16 8:39:00 AM,C,1.125
3/29/16 8:49:00 AM,C,1.25
3/29/16 8:59:00 AM,C,1.25
3/29/16 9:09:00 AM,C,1.375
3/29/16 9:19:00 AM,C,1.375
3/29/16 9:29:00 AM,C,1.5
3/29/16 9:39:00 AM,C,1.5
3/29/16 9:49:00 AM,C,1.625
3/29/16 9:59:00 AM,C,1.75
3/29/16 10:09:00 AM,C,1.875
3/29/16 10:19:00 AM,C,2
3/29/16 10:29:00 AM,C,2
3/29/16 10:39:00 AM,C,2.125
3/29/16 10:49:00 AM,C,2.125
3/29/16 10:59:00 AM,C,2.375
3/29/16 11:09:00 AM,C,2.625
3/29/16 11:19:00 AM,C,3.125
3/29/16 11:29:00 AM,C,3.875
3/29/16 11:39:00 AM,C,4.5
3/29/16 11:49:00 AM,C,5.25
3/29/16 11:59:00 AM,C,6.25
3/29/16 12:09:00 PM,C,7.5
3/29/16 12:19:00 PM,C,9
3/29/16 12:29:00 PM,C,8.875
3/29/16 12:39:00 PM,C,8.5
3/29/16 12:49:00 PM,C,8
3/29/16 12:59:00 PM,C,8.25
3/29/16 1:09:00 PM,C,10.25
3/29/16 1:19:00 PM,C,9.875
3/29/16 1:29:00 PM,C,9.125
3/29/16 1:39:00 PM,C,8.625
3/29/16 1:49:00 PM,C,8.875
3/29/16 1:59:00 PM,C,11.625
3/29/16 2:09:00 PM,C,13.375
3/29/16 2:19:00 PM,C,16.875
3/29/16 2:29:00 PM,C,17
3/29/16 2:39:00 PM,C,16.25
3/29/16 2:49:00 PM,C,16.625
3/29/16 2:59:00 PM,C,16.875
3/29/16 3:09:00 PM,C,15.625
3/29/16 3:19:00 PM,C,14.625
3/29/16 3:29:00 PM,C,14.125
3/29/16 3:39:00 PM,C,13.5
3/29/16 3:49:00 PM,C,14.75
3/29/16 3:59:00 PM,C,17.75
3/29/16 4:09:00 PM,C,16.25
3/29/16 4:19:00 PM,C,15
3/29/16 4:29:00 PM,C,14.25
3/29/16 4:39:00 PM,C,14.375
3/29/16 4:49:00 PM,C,17.75
3/29/16 4:59:00 PM,C,17.75
3/29/16 5:09:00 PM,C,16.75
3/29/16 5:19:00 PM,C,16.875
3/29/16 5:29:00 PM,C,17
3/29/16 5:39:00 PM,C,20
3/29/16 5:49:00 PM,C,22.25
3/29/16 5:59:00 PM,C,20.375
3/29/16 6:09:00 PM,C,16.875
3/29/16 6:19:00 PM,C,14.125
3/29/16 6:29:00 PM,C,12.875
3/29/16 6:39:00 PM,C,13
3/29/16 6:49:00 PM,C,12.375
3/29/16 6:59:00 PM,C,11.5
3/29/16 7:09:00 PM,C,10.5
3/29/16 7:19:00 PM,C,9.75
3/29/16 7:29:00 PM,C,8.875
3/29/16 7:39:00 PM,C,7.375
3/29/16 7:49:00 PM,C,6.375
3/29/16 7:59:00 PM,C,5.75
3/29/16 8:09:00 PM,C,5.125
3/29/16 8:19:00 PM,C,4.5
3/29/16 8:29:00 PM,C,4.125
3/29/16 8:39:00 PM,C,3.625
3/29/16 8:49:00 PM,C,3.25
3/29/16 8:59:00 PM,C,2.875
3/29/16 9:09:00 PM,C,2.75
3/29/16 9:19:00 PM,C,2.375
3/29/16 9:29:00 PM,C,1.875
3/29/16 9:39:00 PM,C,2
3/29/16 9:49:00 PM,C,2.125
3/29/16 9:59:00 PM,C,1.875
3/29/16 10:09:00 PM,C,1.5
3/29/16 10:19:00 PM,C,1.25
3/29/16 10:29:00 PM,C,1.375
3/29/16 10:39:00 PM,C,1.125
3/29/16 10:49:00 PM,C,1
3/29/16 10:59:00 PM,C,0.625
3/29/16 11:09:00 PM,C,0.75
3/29/16 11:19:00 PM,C,0.75
3/29/16 11:29:00 PM,C,0.625
3/29/16 11:39:00 PM,C,0.5
3/29/16 11:49:00 PM,C,0.375
3/29/16 11:59:00 PM,C,0.25
