1-Wire/iButton Part Number: DS1921Z-F5
1-Wire/iButton Registration Number: CB3B20000264AE21
Is Mission Active?  true
Mission Start:  Mon Mar 28 16:16:00 MDT 2016
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  16610
Total Samples:  139535
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  High Temp
Next Clock Alarm At:  Disabled
High Temperature Alarm:  26.375 �C
Low Temperature Alarm:  -5.5 �C

Date/Time,Unit,Value
3/28/16 4:16:00 PM,C,23.375
3/28/16 4:46:00 PM,C,21.875
3/28/16 5:16:00 PM,C,22.125
3/28/16 5:46:00 PM,C,22.375
3/28/16 6:16:00 PM,C,22.25
3/28/16 6:46:00 PM,C,21.75
3/28/16 7:16:00 PM,C,21.125
3/28/16 7:46:00 PM,C,20.5
3/28/16 8:16:00 PM,C,19.875
3/28/16 8:46:00 PM,C,5
3/28/16 9:16:00 PM,C,3.125
3/28/16 9:46:00 PM,C,2.375
3/28/16 10:16:00 PM,C,1.75
3/28/16 10:46:00 PM,C,1.25
3/28/16 11:16:00 PM,C,0.75
3/28/16 11:46:00 PM,C,0.375
3/29/16 12:16:00 AM,C,0.125
3/29/16 12:46:00 AM,C,0.375
3/29/16 1:16:00 AM,C,0.75
3/29/16 1:46:00 AM,C,0.875
3/29/16 2:16:00 AM,C,1
3/29/16 2:46:00 AM,C,1
3/29/16 3:16:00 AM,C,1
3/29/16 3:46:00 AM,C,1.125
3/29/16 4:16:00 AM,C,1.125
3/29/16 4:46:00 AM,C,1
3/29/16 5:16:00 AM,C,1
3/29/16 5:46:00 AM,C,1
3/29/16 6:16:00 AM,C,1
3/29/16 6:46:00 AM,C,0.875
3/29/16 7:16:00 AM,C,0.875
3/29/16 7:46:00 AM,C,0.875
3/29/16 8:16:00 AM,C,1
3/29/16 8:46:00 AM,C,1.125
3/29/16 9:16:00 AM,C,1.25
3/29/16 9:46:00 AM,C,1.375
3/29/16 10:16:00 AM,C,1.75
3/29/16 10:46:00 AM,C,2
3/29/16 11:16:00 AM,C,2.5
3/29/16 11:46:00 AM,C,4.375
3/29/16 12:16:00 PM,C,7.375
3/29/16 12:46:00 PM,C,7.125
3/29/16 1:16:00 PM,C,8.75
3/29/16 1:46:00 PM,C,7.625
3/29/16 2:16:00 PM,C,12.625
3/29/16 2:46:00 PM,C,13.125
3/29/16 3:16:00 PM,C,12.875
3/29/16 3:46:00 PM,C,11.875
3/29/16 4:16:00 PM,C,12.875
3/29/16 4:46:00 PM,C,13.5
3/29/16 5:16:00 PM,C,13.5
3/29/16 5:46:00 PM,C,17.5
3/29/16 6:16:00 PM,C,13.75
3/29/16 6:46:00 PM,C,12.875
3/29/16 7:16:00 PM,C,10
3/29/16 7:46:00 PM,C,6.75
3/29/16 8:16:00 PM,C,5.125
3/29/16 8:46:00 PM,C,4
3/29/16 9:16:00 PM,C,3.125
3/29/16 9:46:00 PM,C,2.625
3/29/16 10:16:00 PM,C,1.875
3/29/16 10:46:00 PM,C,1.75
3/29/16 11:16:00 PM,C,1.5
3/29/16 11:46:00 PM,C,1.125
3/30/16 12:16:00 AM,C,0.875
3/30/16 12:46:00 AM,C,0.625
3/30/16 1:16:00 AM,C,0.375
3/30/16 1:46:00 AM,C,0.25
3/30/16 2:16:00 AM,C,-0.125
3/30/16 2:46:00 AM,C,-0.25
3/30/16 3:16:00 AM,C,-0.25
3/30/16 3:46:00 AM,C,-0.5
3/30/16 4:16:00 AM,C,-0.5
3/30/16 4:46:00 AM,C,-0.75
3/30/16 5:16:00 AM,C,-0.75
3/30/16 5:46:00 AM,C,-1
3/30/16 6:16:00 AM,C,-1
3/30/16 6:46:00 AM,C,-1.125
3/30/16 7:16:00 AM,C,-1.25
3/30/16 7:46:00 AM,C,-1.25
3/30/16 8:16:00 AM,C,-1.125
3/30/16 8:46:00 AM,C,-0.875
3/30/16 9:16:00 AM,C,-0.5
3/30/16 9:46:00 AM,C,0.125
3/30/16 10:16:00 AM,C,0.875
3/30/16 10:46:00 AM,C,1.75
3/30/16 11:16:00 AM,C,8
3/30/16 11:46:00 AM,C,8.5
3/30/16 12:16:00 PM,C,8.125
3/30/16 12:46:00 PM,C,7.875
3/30/16 1:16:00 PM,C,8.125
3/30/16 1:46:00 PM,C,8.75
3/30/16 2:16:00 PM,C,9.125
3/30/16 2:46:00 PM,C,9.5
3/30/16 3:16:00 PM,C,10.5
3/30/16 3:46:00 PM,C,11.375
3/30/16 4:16:00 PM,C,12.5
3/30/16 4:46:00 PM,C,13.25
3/30/16 5:16:00 PM,C,12.375
3/30/16 5:46:00 PM,C,12.5
3/30/16 6:16:00 PM,C,10.625
3/30/16 6:46:00 PM,C,9.375
3/30/16 7:16:00 PM,C,8.25
3/30/16 7:46:00 PM,C,7.25
3/30/16 8:16:00 PM,C,6.125
3/30/16 8:46:00 PM,C,5.5
3/30/16 9:16:00 PM,C,5.125
3/30/16 9:46:00 PM,C,4.625
3/30/16 10:16:00 PM,C,4.375
3/30/16 10:46:00 PM,C,4.125
3/30/16 11:16:00 PM,C,4
3/30/16 11:46:00 PM,C,4
3/31/16 12:16:00 AM,C,3.75
3/31/16 12:46:00 AM,C,3.5
