#SampleID	Day	Elk	Rep	Description
#mapping file for Elk Time Series methods project
ETS.0.1.1	0	1	1	ETS_011
ETS.0.1.2	0	1	2	ETS_012
ETS.0.1.3	0	1	3	ETS_013
ETS.0.2.1	0	2	1	ETS_021
ETS.0.2.2	0	2	2	ETS_022
ETS.0.2.3	0	2	3	ETS_023
ETS.0.3.1	0	3	1	ETS_031
ETS.0.3.2	0	3	2	ETS_032
ETS.0.3.3	0	3	3	ETS_033
ETS.0.4.1	0	4	1	ETS_041
ETS.0.4.2	0	4	2	ETS_042
ETS.0.4.3	0	4	3	ETS_043
ETS.1.1.1	1	1	1	ETS_111
ETS.1.1.2	1	1	2	ETS_112
ETS.1.1.3	1	1	3	ETS_113
ETS.1.2.1	1	2	1	ETS_121
ETS.1.2.2	1	2	2	ETS_122
ETS.1.2.3	1	2	3	ETS_123
ETS.1.3.1	1	3	1	ETS_131
ETS.1.3.2	1	3	2	ETS_132
ETS.1.3.3	1	3	3	ETS_133
ETS.14.1.1	14	1	1	ETS_1411
ETS.1.4.1	1	4	1	ETS_141
ETS.14.1.2	14	1	2	ETS_1412
ETS.14.1.3	14	1	3	ETS_1413
ETS.14.2.1	14	2	1	ETS_1421
ETS.1.4.2	1	4	2	ETS_142
ETS.14.2.2	14	2	2	ETS_1422
ETS.14.2.3	14	2	3	ETS_1423
ETS.14.3.1	14	3	1	ETS_1431
ETS.1.4.3	1	4	3	ETS_143
ETS.14.3.2	14	3	2	ETS_1432
ETS.14.3.3	14	3	3	ETS_1433
ETS.14.4.1	14	4	1	ETS_1441
ETS.14.4.2	14	4	2	ETS_1442
ETS.14.4.3	14	4	3	ETS_1443
ETS.3.1.1	3	1	1	ETS_311
ETS.3.1.2	3	1	2	ETS_312
ETS.3.1.3	3	1	3	ETS_313
ETS.3.2.1	3	2	1	ETS_321
ETS.3.2.2	3	2	2	ETS_322
ETS.3.2.3	3	2	3	ETS_323
ETS.3.3.1	3	3	1	ETS_331
ETS.3.3.2	3	3	2	ETS_332
ETS.3.3.3	3	3	3	ETS_333
ETS.3.4.1	3	4	1	ETS_341
ETS.3.4.2	3	4	2	ETS_342
ETS.3.4.3	3	4	3	ETS_343
ETS.7.1.1	7	1	1	ETS_711
ETS.7.1.2	7	1	2	ETS_712
ETS.7.1.3	7	1	3	ETS_713
ETS.7.2.1	7	2	1	ETS_721
ETS.7.2.2	7	2	2	ETS_722
ETS.7.2.3	7	2	3	ETS_723
ETS.7.3.1	7	3	1	ETS_731
ETS.7.3.2	7	3	2	ETS_732
ETS.7.3.3	7	3	3	ETS_733
ETS.7.4.1	7	4	1	ETS_741
ETS.7.4.2	7	4	2	ETS_742
ETS.7.4.3	7	4	3	ETS_743
