"","total_raw_pairs_in","Primer_trim_filter","Quality_filter_trim","denoisedF","denoisedR","merged","non_chimera","proportion"
"ETS_011",245786,244243,179640,175260,176553,128947,114640,0.466422009390283
"ETS_012",207931,206639,151622,147856,149026,109289,98411,0.47328681149035
"ETS_013",139941,139210,103451,100522,101257,75435,69578,0.497195246568197
"ETS_021",57702,57323,42540,40385,41122,25982,24383,0.422567675297217
"ETS_022",137155,136296,99594,96325,97252,65091,58501,0.426532025810215
"ETS_023",56480,56097,41359,39569,40044,27104,25744,0.455807365439094
"ETS_031",100345,99785,74435,71577,72673,50997,47352,0.471891972694205
"ETS_032",120824,120011,87818,84660,86019,57426,51902,0.429566973448984
"ETS_033",91260,90689,67080,64821,65303,46394,43703,0.478884505807583
"ETS_041",75250,74708,54900,52573,53056,34477,32216,0.428119601328904
"ETS_042",60857,60483,44884,42899,43500,29251,27654,0.454409517393233
"ETS_043",49972,49635,36785,34760,35305,21678,20314,0.406507644280797
"ETS_111",90529,89822,65761,63135,63637,40790,36805,0.406554805642391
"ETS_112",76248,75631,55282,53126,53470,35793,33394,0.437965585982583
"ETS_113",83584,82930,61004,58278,58946,36634,33259,0.397911083460949
"ETS_121",93225,92446,68567,66299,66622,46181,42895,0.46012335746849
"ETS_122",86562,85879,63350,60709,61510,38525,34973,0.40402255031076
"ETS_123",74613,73993,54383,52077,52820,36277,34152,0.457721844718749
"ETS_131",64034,63518,47105,44989,45559,30515,28713,0.44840241121904
"ETS_132",51877,51446,37621,35917,36316,23193,21629,0.416928503961293
"ETS_133",107134,106199,78427,75792,76419,50223,45604,0.42567252226184
"ETS_141",83554,82845,60538,57984,58552,38683,36109,0.432163630705891
"ETS_1411",32845,32632,23919,22220,22746,11619,10561,0.321540569340843
"ETS_1412",40256,39982,29082,27379,27923,16448,15354,0.381408982511924
"ETS_1413",48711,48389,35345,33689,34100,21246,19834,0.407177023670218
"ETS_142",87541,86841,64410,61706,62356,39589,36332,0.415028386698804
"ETS_1421",61692,61246,44839,42910,43339,27887,25909,0.419973416326266
"ETS_1422",167665,166580,121239,117772,118521,83226,75407,0.449748009423553
"ETS_1423",123112,122300,89186,84885,86697,43780,33409,0.271370784326467
"ETS_143",55291,54839,40381,38156,38797,23846,22290,0.403139751496627
"ETS_1431",60931,60565,44429,42363,42965,25953,23612,0.387520309858693
"ETS_1432",31956,31691,22709,21345,21673,13746,12920,0.404305920640881
"ETS_1433",227735,226191,164913,160219,162127,110498,97140,0.426548400553275
"ETS_1441",56527,56159,40860,38636,39274,23961,22450,0.397155341695119
"ETS_1442",167464,166393,122008,117947,119378,80259,72267,0.431537524482874
"ETS_1443",116491,115709,84411,80852,82264,48794,42188,0.362156733138182
"ETS_311",204971,203505,149223,144307,146146,95459,82092,0.400505437354553
"ETS_312",70463,69909,51021,48780,49206,30387,27789,0.394377190866128
"ETS_313",63439,62971,46503,44174,44817,27004,24767,0.390406532259336
"ETS_321",48290,47853,35060,33217,33815,20863,19729,0.40855249534065
"ETS_322",66441,65958,48344,46338,47034,32548,30972,0.466157944642615
"ETS_323",59319,58813,43118,41062,41914,27691,26216,0.441949459700939
"ETS_331",112540,111638,82707,79963,80873,56557,52265,0.464412653278834
"ETS_332",81061,80421,58469,54335,56588,25705,19936,0.24593824403844
"ETS_333",267983,265897,196979,192614,194089,142648,126887,0.473488989973245
"ETS_341",63013,62530,46159,44159,44694,30462,28967,0.459698792312697
"ETS_342",56351,55966,41320,39170,39696,24112,22405,0.397597203243953
"ETS_343",33452,33165,24284,22877,23323,15292,14637,0.437552313763004
"ETS_711",89832,89061,64147,61008,61932,34637,30251,0.336750823759907
"ETS_712",65132,64569,46266,43722,44666,25921,23579,0.362018669778296
"ETS_713",48541,48176,34783,32558,33358,17774,15771,0.324900599493212
"ETS_721",40559,40171,29356,27404,28144,15507,14308,0.352770038709041
"ETS_722",51026,50597,36522,33886,34504,16461,14681,0.287716066319131
"ETS_723",43353,42984,30639,28406,29172,14608,13230,0.305169192443429
"ETS_731",50768,50382,36940,34041,35392,16645,14736,0.29026158209896
"ETS_732",30173,29916,21461,19789,20494,10712,9884,0.327577635634508
"ETS_733",102129,101336,73501,69481,70942,35076,28335,0.27744323355756
"ETS_741",53784,53344,38622,36400,37056,20950,19270,0.358284991819128
"ETS_742",51042,50634,37024,34727,35432,19422,18027,0.353179734336429
"ETS_743",23800,23590,16970,15563,16069,8383,7812,0.328235294117647
