Sample	Top over-represented sequence	Sum of remaining over-represented sequences
ETS_011.1	3.4501558266133956	76.23461059620975
ETS_011.2	3.101885379964685	77.42467024159221
ETS_012.1	3.137579293130895	76.1526660286345
ETS_012.2	3.1168993560363774	76.79422500733409
ETS_013.1	3.830185578207959	77.7906403412867
ETS_013.2	2.9812563866200756	78.45949364374994
ETS_021.1	3.5735329797927284	75.84312502166308
ETS_021.2	3.4071609302970436	76.9141450902915
ETS_022.1	4.069847982209908	74.16718311399514
ETS_022.2	3.146804709999636	76.70008384674273
ETS_023.1	3.9872521246458925	73.85800283286125
ETS_023.2	2.896600566572238	75.73831444759209
ETS_031.1	4.509442423638448	71.95973890079226
ETS_031.2	2.940854053515372	75.32512830733967
ETS_032.1	3.9305104946037215	73.41422233993242
ETS_032.2	3.3254982453817123	75.88061974442162
ETS_033.1	4.375410913872453	72.1772956388341
ETS_033.2	2.9706333552487396	75.6563664255972
ETS_041.1	3.6890365448504983	74.32425249169428
ETS_041.2	2.564784053156146	75.99734219269097
ETS_042.1	4.009399083096439	73.54782522963666
ETS_042.2	2.709630773781159	76.0504132638809
ETS_043.1	4.094292803970223	74.74585768030094
ETS_043.2	2.8776114624189546	76.68294244777074
ETS_111.1	3.236531940041313	78.03576754410224
ETS_111.2	2.725093616410211	75.75362590992961
ETS_112.1	3.184345818906725	78.04794879865705
ETS_112.2	2.800073444549365	75.73182247403219
ETS_113.1	3.4432427258805514	77.6536179173048
ETS_113.2	2.581833843797856	75.16271056661557
ETS_121.1	3.843389648699383	76.2735317779566
ETS_121.2	2.818986323411102	75.26414588361486
ETS_122.1	3.976340657563365	76.36722811395299
ETS_122.2	2.8199440863196323	74.76259790670271
ETS_123.1	4.039510541058529	76.84049696433594
ETS_123.2	2.70730301690054	75.50560894214144
ETS_131.1	3.8510791142205703	75.62232563950404
ETS_131.2	2.7048130680575944	74.92738232813822
ETS_132.1	3.5410682961620754	76.53873585596696
ETS_132.2	3.0418104362241456	74.87133026196577
ETS_133.1	3.9025892807138725	75.231952508074
ETS_133.2	2.746093677077305	74.4320197136297
ETS_141.1	3.8861095818273212	75.39435574598456
ETS_141.2	2.5468559255092513	74.15683270699189
ETS_1411.1	3.1816105952199725	76.84274623230333
ETS_1411.2	3.69310397320749	76.23382554422298
ETS_1412.1	3.2467209856915735	75.70051669316375
ETS_1412.2	3.2144276629570747	77.14874801271858
ETS_1413.1	3.095809981318388	76.05058405698922
ETS_1413.2	3.8451273839584488	76.38315780829791
ETS_142.1	3.2579020116288366	77.31919900389526
ETS_142.2	2.789550039410105	73.95391873522124
ETS_1421.1	3.19328275951501	75.85100175063221
ETS_1421.2	3.4185956039681	76.00175063217269
ETS_1422.1	3.7479497808129305	75.05919541943761
ETS_1422.2	3.4873110070676643	75.62103003011951
ETS_1423.1	3.5861654428487886	75.96497498213007
ETS_1423.2	3.4675742413412176	75.42237962180785
ETS_143.1	3.31880414534011	78.02173952361149
ETS_143.2	2.825052901918938	74.7951746215478
ETS_1431.1	3.349690633667591	74.71237957689848
ETS_1431.2	3.3234314224286488	75.00287210122926
ETS_1432.1	2.8695706596570285	74.78720741018901
ETS_1432.2	3.695706596570284	74.52747527850799
ETS_1433.1	3.223044327837179	75.25501130700155
ETS_1433.2	3.643269589654642	75.47280830790176
ETS_1441.1	3.3329205512409996	73.75944239036184
ETS_1441.2	4.068852053001221	73.50115873830192
ETS_1442.1	3.31713084603258	75.6126689915445
ETS_1442.2	3.4897052500836003	74.69306836096123
ETS_1443.1	3.664660789245521	75.62386793829569
ETS_1443.2	3.1375814440600567	75.1852074409181
ETS_311.1	3.656126964302267	75.20136994989542
ETS_311.2	3.1784984217279515	78.05543223187671
ETS_312.1	3.4401033166342616	74.09278628500066
ETS_312.2	3.279735464002384	76.92831698905803
ETS_313.1	3.8336039344882487	74.99172433361184
ETS_313.2	3.297656016015385	77.84012988855434
ETS_321.1	3.7067715883205636	72.42493269828132
ETS_321.2	3.3278111410229863	75.64920273348511
ETS_322.1	3.7115636429313223	73.60665853915505
ETS_322.2	3.24949955599705	76.90883641125211
ETS_323.1	3.5401810549739543	74.43652118208321
ETS_323.2	3.560410661002377	77.17594699843205
ETS_331.1	3.7426692731473254	71.97974053669809
ETS_331.2	3.6315976541674075	76.3977252532433
ETS_332.1	3.9229715892969494	71.98652866359897
ETS_332.2	3.7502621482587184	75.57271684287136
ETS_333.1	3.8080773780426367	73.27740938790889
ETS_333.2	3.464772019120616	76.61082979144193
ETS_341.1	3.8468252582800373	72.88337327218196
ETS_341.2	3.3136019551521114	75.42570580673828
ETS_342.1	3.771006725701407	73.95077283455487
ETS_342.2	3.3007400046139375	76.13706943976148
ETS_343.1	3.566303957909841	72.6712902068635
ETS_343.2	3.685878273346885	74.7757981585555
ETS_711.1	3.889482589723039	77.07832398254516
ETS_711.2	3.3095110873630778	73.99479027518038
ETS_712.1	3.7109255051280474	76.69655468893943
ETS_712.2	3.325554259043174	73.7241294601732
ETS_713.1	3.3291444346016767	77.97944006097941
ETS_713.2	3.7864897715333434	73.79328814816341
ETS_721.1	3.508469143716561	77.16166572154148
ETS_721.2	3.89309401119357	72.40563130254688
ETS_722.1	3.5746482185552466	76.50609493199545
ETS_722.2	3.560929722102458	72.12009563751813
ETS_723.1	4.059695984130279	75.63721080432731
ETS_723.2	3.231610269185523	72.4540400894979
ETS_731.1	4.016309486290576	75.05712259691153
ETS_731.2	3.1575007878978885	74.02497636306343
ETS_732.1	3.682099890630696	75.06048453915751
ETS_732.2	3.3970768567924967	72.38922215225534
ETS_733.1	4.150633022941574	74.94443302098333
ETS_733.2	3.1675625924076414	72.69042093822523
ETS_741.1	3.6683772125539194	76.34612524170755
ETS_741.2	3.3950617283950617	72.33935742971885
ETS_742.1	3.4442224050781713	76.50366364954345
ETS_742.2	3.530425923749069	71.85846949570944
ETS_743.1	3.869747899159664	75.94957983193282
ETS_743.2	3.1176470588235294	72.34033613445374
