Sample	Unique Reads	Duplicate Reads
ETS_011.1	14242.0	231544.0
ETS_011.2	15669.0	230117.0
ETS_012.1	12948.0	194983.0
ETS_012.2	14361.0	193570.0
ETS_013.1	8127.0	131814.0
ETS_013.2	9807.0	130134.0
ETS_021.1	4938.0	52764.0
ETS_021.2	5418.0	52284.0
ETS_022.1	9321.0	127834.0
ETS_022.2	10598.0	126557.0
ETS_023.1	4963.0	51517.0
ETS_023.2	5409.0	51071.0
ETS_031.1	7637.0	92708.0
ETS_031.2	8338.0	92007.0
ETS_032.1	8756.0	112068.0
ETS_032.2	9526.0	111298.0
ETS_033.1	7089.0	84171.0
ETS_033.2	7580.0	83680.0
ETS_041.1	6468.0	68782.0
ETS_041.2	6979.0	68271.0
ETS_042.1	5448.0	55409.0
ETS_042.2	5695.0	55162.0
ETS_043.1	4484.0	45488.0
ETS_043.2	4832.0	45140.0
ETS_111.1	6747.0	83782.0
ETS_111.2	8077.0	82452.0
ETS_112.1	5921.0	70327.0
ETS_112.2	7202.0	69046.0
ETS_113.1	6239.0	77345.0
ETS_113.2	7548.0	76036.0
ETS_121.1	6881.0	86344.0
ETS_121.2	8373.0	84852.0
ETS_122.1	6219.0	80343.0
ETS_122.2	7793.0	78769.0
ETS_123.1	5711.0	68902.0
ETS_123.2	7080.0	67533.0
ETS_131.1	5159.0	58875.0
ETS_131.2	6262.0	57772.0
ETS_132.1	4481.0	47396.0
ETS_132.2	5286.0	46591.0
ETS_133.1	7476.0	99658.0
ETS_133.2	9492.0	97642.0
ETS_141.1	6479.0	77075.0
ETS_141.2	7819.0	75735.0
ETS_1411.1	3289.0	29556.0
ETS_1411.2	3547.0	29298.0
ETS_1412.1	4073.0	36183.0
ETS_1412.2	4157.0	36099.0
ETS_1413.1	4436.0	44275.0
ETS_1413.2	4751.0	43960.0
ETS_142.1	6366.0	81175.0
ETS_142.2	7899.0	79642.0
ETS_1421.1	5444.0	56248.0
ETS_1421.2	5864.0	55828.0
ETS_1422.1	11113.0	156552.0
ETS_1422.2	11883.0	155782.0
ETS_1423.1	8632.0	114480.0
ETS_1423.2	9812.0	113300.0
ETS_143.1	4608.0	50683.0
ETS_143.2	5491.0	49800.0
ETS_1431.1	5313.0	55618.0
ETS_1431.2	5771.0	55160.0
ETS_1432.1	3516.0	28440.0
ETS_1432.2	3693.0	28263.0
ETS_1433.1	13612.0	214123.0
ETS_1433.2	14981.0	212754.0
ETS_1441.1	5216.0	51311.0
ETS_1441.2	5616.0	50911.0
ETS_1442.1	10992.0	156472.0
ETS_1442.2	12023.0	155441.0
ETS_1443.1	8245.0	108246.0
ETS_1443.2	9249.0	107242.0
ETS_311.1	12284.0	192687.0
ETS_311.2	12834.0	192137.0
ETS_312.1	6005.0	64458.0
ETS_312.2	6243.0	64220.0
ETS_313.1	5326.0	58113.0
ETS_313.2	5472.0	57967.0
ETS_321.1	4739.0	43551.0
ETS_321.2	4899.0	43391.0
ETS_322.1	5946.0	60495.0
ETS_322.2	5984.0	60457.0
ETS_323.1	5345.0	53974.0
ETS_323.2	5409.0	53910.0
ETS_331.1	8704.0	103836.0
ETS_331.2	8753.0	103787.0
ETS_332.1	6786.0	74275.0
ETS_332.2	6957.0	74104.0
ETS_333.1	15129.0	252854.0
ETS_333.2	15800.0	252183.0
ETS_341.1	5642.0	57371.0
ETS_341.2	5666.0	57347.0
ETS_342.1	4981.0	51370.0
ETS_342.2	5104.0	51247.0
ETS_343.1	3642.0	29810.0
ETS_343.2	3604.0	29848.0
ETS_711.1	6572.0	83260.0
ETS_711.2	8352.0	81480.0
ETS_712.1	5275.0	59857.0
ETS_712.2	6591.0	58541.0
ETS_713.1	4117.0	44424.0
ETS_713.2	5008.0	43533.0
ETS_721.1	3800.0	36759.0
ETS_721.2	4675.0	35884.0
ETS_722.1	4256.0	46770.0
ETS_722.2	5488.0	45538.0
ETS_723.1	3977.0	39376.0
ETS_723.2	4984.0	38369.0
ETS_731.1	4362.0	46406.0
ETS_731.2	5211.0	45557.0
ETS_732.1	3085.0	27088.0
ETS_732.2	3716.0	26457.0
ETS_733.1	7193.0	94936.0
ETS_733.2	8994.0	93135.0
ETS_741.1	4634.0	49150.0
ETS_741.2	5627.0	48157.0
ETS_742.1	4421.0	46621.0
ETS_742.2	5315.0	45727.0
ETS_743.1	2638.0	21162.0
ETS_743.2	3196.0	20604.0
