Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ETS_011.1	ETS_011.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	245786.0	0.0	57-292	52.0	5.794064755519028	280.31042451563553	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_011.2	ETS_011.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	245786.0	0.0	73-294	50.0	6.374651119266353	262.3637107076888	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_012.1	ETS_012.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	207931.0	0.0	22-292	52.0	6.227065709297796	279.2378721787516	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_012.2	ETS_012.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	207931.0	0.0	61-294	51.0	6.906618060799015	262.25371397242355	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_013.1	ETS_013.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	139941.0	0.0	60-292	52.0	5.807447424271657	280.47723683552357	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_013.2	ETS_013.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	139941.0	0.0	67-294	50.0	7.007953351769674	262.91166991803686	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ETS_021.1	ETS_021.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57702.0	0.0	99-292	52.0	8.557762295934284	280.49199334511803	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_021.2	ETS_021.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57702.0	0.0	91-294	51.0	9.389622543412706	262.93740251637723	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_022.1	ETS_022.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	137155.0	0.0	59-292	52.0	6.795231672195691	279.8665524406693	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_022.2	ETS_022.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	137155.0	0.0	47-294	50.0	7.727024169734971	262.6471145783967	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ETS_023.1	ETS_023.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56480.0	0.0	60-292	52.0	8.787181303116148	280.4055771954674	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_023.2	ETS_023.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56480.0	0.0	81-294	50.0	9.57684135977337	262.33215297450425	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ETS_031.1	ETS_031.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	100345.0	0.0	60-292	52.0	7.610742936867807	280.597847426379	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_031.2	ETS_031.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	100345.0	0.0	81-294	51.0	8.309332801833675	263.12023518859934	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_032.1	ETS_032.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120824.0	0.0	60-292	52.0	7.2469045884923515	280.0651608951864	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_032.2	ETS_032.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	120824.0	0.0	47-294	51.0	7.884195193008011	262.70942031384493	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_033.1	ETS_033.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91260.0	0.0	68-292	52.0	7.767915844838921	280.3129191321499	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_033.2	ETS_033.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91260.0	0.0	70-294	51.0	8.305939075169846	263.100372561911	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_041.1	ETS_041.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75250.0	0.0	29-292	52.0	8.595348837209302	279.16155481727577	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_041.2	ETS_041.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	75250.0	0.0	75-294	51.0	9.274418604651164	262.3879069767442	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_042.1	ETS_042.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60857.0	0.0	59-292	52.0	8.952133690454673	280.16027737154315	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_042.2	ETS_042.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60857.0	0.0	49-294	50.0	9.358003187800911	263.18063657426427	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_043.1	ETS_043.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49972.0	0.0	63-292	52.0	8.973024893940607	280.623329064276	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_043.2	ETS_043.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49972.0	0.0	47-294	51.0	9.669414872328504	262.7057952453374	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_111.1	ETS_111.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	90529.0	0.0	68-292	52.0	7.452860409371582	280.52489257585967	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_111.2	ETS_111.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	90529.0	0.0	48-295	50.0	8.922002894100233	262.25496802129703	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ETS_112.1	ETS_112.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76248.0	0.0	58-292	52.0	7.7654495855629	280.3666719127059	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_112.2	ETS_112.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76248.0	0.0	48-295	50.0	9.44549365229252	262.2487934109747	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ETS_113.1	ETS_113.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83584.0	0.0	61-292	52.0	7.464347243491577	280.6415103369066	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_113.2	ETS_113.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83584.0	0.0	49-295	50.0	9.030436447166922	262.55125382848394	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ETS_121.1	ETS_121.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93225.0	0.0	59-292	52.0	7.381067310270851	280.6901796728345	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_121.2	ETS_121.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	93225.0	0.0	48-295	50.0	8.981496379726469	263.04770179672835	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_122.1	ETS_122.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86562.0	0.0	57-292	52.0	7.18444583073404	280.40395323583095	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_122.2	ETS_122.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86562.0	0.0	48-295	50.0	9.002795684018391	262.7756983433839	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_123.1	ETS_123.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74613.0	0.0	60-292	52.0	7.65416214332623	280.7486496991141	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_123.2	ETS_123.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74613.0	0.0	35-295	50.0	9.488963049334567	261.65973757924223	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_131.1	ETS_131.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64034.0	0.0	60-292	52.0	8.055095730393228	280.852859418434	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_131.2	ETS_131.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64034.0	0.0	49-295	51.0	9.779179810725552	262.94484180279227	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_132.1	ETS_132.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51877.0	0.0	63-292	52.0	8.63773926788365	280.38381170846424	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_132.2	ETS_132.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51877.0	0.0	50-295	51.0	10.18948667039343	262.5683443529888	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ETS_133.1	ETS_133.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107134.0	0.0	23-292	52.0	6.978176862620643	279.6214273713294	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_133.2	ETS_133.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107134.0	0.0	35-295	51.0	8.859932421080142	262.2876117759068	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_141.1	ETS_141.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83554.0	0.0	60-292	52.0	7.754266701773703	280.4601455346243	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_141.2	ETS_141.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83554.0	0.0	49-295	51.0	9.358019963137613	262.32229456399455	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_1411.1	ETS_1411.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32845.0	0.0	100-292	52.0	10.013700715481809	280.5499771654742	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_1411.2	ETS_1411.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32845.0	0.0	71-295	51.0	10.799208403105496	262.17339016593087	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_1412.1	ETS_1412.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40256.0	0.0	68-292	52.0	10.11774642289348	280.3389060015898	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_1412.2	ETS_1412.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40256.0	0.0	73-295	51.0	10.326410969793324	261.9748112082671	pass	warn	pass	fail	warn	pass	warn	fail	fail	pass
ETS_1413.1	ETS_1413.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48711.0	0.0	69-292	52.0	9.10677259756523	280.4500010264622	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_1413.2	ETS_1413.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48711.0	0.0	83-295	51.0	9.753443780665558	262.4009361335222	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ETS_142.1	ETS_142.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87541.0	0.0	48-292	52.0	7.2720211101084065	280.4006922470614	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_142.2	ETS_142.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87541.0	0.0	64-295	51.0	9.023200557453078	263.05038781827943	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_1421.1	ETS_1421.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61692.0	0.0	96-292	52.0	8.82448291512676	280.45767684626855	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ETS_1421.2	ETS_1421.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61692.0	0.0	79-295	51.0	9.503663359917008	262.6956493548596	pass	warn	pass	fail	pass	pass	warn	fail	fail	pass
ETS_1422.1	ETS_1422.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	167665.0	0.0	60-292	52.0	6.628097694808099	279.96677899382695	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ETS_1422.2	ETS_1422.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	167665.0	0.0	47-295	50.0	7.087346792711657	262.5613813258581	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
