Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ETS_011.1	94.20593524448097	52.0	280.31042451563553	40.0	245786.0
ETS_011.2	93.62534888073364	50.0	262.3637107076888	30.0	245786.0
ETS_012.1	93.77293429070221	52.0	279.2378721787516	40.0	207931.0
ETS_012.2	93.09338193920098	51.0	262.25371397242355	30.0	207931.0
ETS_013.1	94.19255257572834	52.0	280.47723683552357	40.0	139941.0
ETS_013.2	92.99204664823033	50.0	262.91166991803686	30.0	139941.0
ETS_021.1	91.44223770406572	52.0	280.49199334511803	30.0	57702.0
ETS_021.2	90.61037745658729	51.0	262.93740251637723	30.0	57702.0
ETS_022.1	93.2047683278043	52.0	279.8665524406693	30.0	137155.0
ETS_022.2	92.27297583026503	50.0	262.6471145783967	30.0	137155.0
ETS_023.1	91.21281869688386	52.0	280.4055771954674	30.0	56480.0
ETS_023.2	90.42315864022663	50.0	262.33215297450425	30.0	56480.0
ETS_031.1	92.38925706313219	52.0	280.597847426379	30.0	100345.0
ETS_031.2	91.69066719816632	51.0	263.12023518859934	30.0	100345.0
ETS_032.1	92.75309541150764	52.0	280.0651608951864	30.0	120824.0
ETS_032.2	92.11580480699199	51.0	262.70942031384493	30.0	120824.0
ETS_033.1	92.23208415516108	52.0	280.3129191321499	30.0	91260.0
ETS_033.2	91.69406092483015	51.0	263.100372561911	30.0	91260.0
ETS_041.1	91.4046511627907	52.0	279.16155481727577	30.0	75250.0
ETS_041.2	90.72558139534884	51.0	262.3879069767442	30.0	75250.0
ETS_042.1	91.04786630954533	52.0	280.16027737154315	30.0	60857.0
ETS_042.2	90.6419968121991	50.0	263.18063657426427	30.0	60857.0
ETS_043.1	91.0269751060594	52.0	280.623329064276	30.0	49972.0
ETS_043.2	90.3305851276715	51.0	262.7057952453374	30.0	49972.0
ETS_111.1	92.54713959062842	52.0	280.52489257585967	40.0	90529.0
ETS_111.2	91.07799710589977	50.0	262.25496802129703	40.0	90529.0
ETS_112.1	92.2345504144371	52.0	280.3666719127059	40.0	76248.0
ETS_112.2	90.55450634770747	50.0	262.2487934109747	40.0	76248.0
ETS_113.1	92.53565275650843	52.0	280.6415103369066	40.0	83584.0
ETS_113.2	90.96956355283308	50.0	262.55125382848394	30.0	83584.0
ETS_121.1	92.61893268972915	52.0	280.6901796728345	30.0	93225.0
ETS_121.2	91.01850362027353	50.0	263.04770179672835	30.0	93225.0
ETS_122.1	92.81555416926597	52.0	280.40395323583095	30.0	86562.0
ETS_122.2	90.9972043159816	50.0	262.7756983433839	30.0	86562.0
ETS_123.1	92.34583785667377	52.0	280.7486496991141	30.0	74613.0
ETS_123.2	90.51103695066543	50.0	261.65973757924223	30.0	74613.0
ETS_131.1	91.94490426960677	52.0	280.852859418434	30.0	64034.0
ETS_131.2	90.22082018927445	51.0	262.94484180279227	30.0	64034.0
ETS_132.1	91.36226073211635	52.0	280.38381170846424	40.0	51877.0
ETS_132.2	89.81051332960656	51.0	262.5683443529888	30.0	51877.0
ETS_133.1	93.02182313737936	52.0	279.6214273713294	30.0	107134.0
ETS_133.2	91.14006757891985	51.0	262.2876117759068	30.0	107134.0
ETS_141.1	92.2457332982263	52.0	280.4601455346243	30.0	83554.0
ETS_141.2	90.64198003686239	51.0	262.32229456399455	30.0	83554.0
ETS_1411.1	89.9862992845182	52.0	280.5499771654742	40.0	32845.0
ETS_1411.2	89.2007915968945	51.0	262.17339016593087	30.0	32845.0
ETS_1412.1	89.88225357710652	52.0	280.3389060015898	40.0	40256.0
ETS_1412.2	89.67358903020667	51.0	261.9748112082671	30.0	40256.0
ETS_1413.1	90.89322740243477	52.0	280.4500010264622	40.0	48711.0
ETS_1413.2	90.24655621933444	51.0	262.4009361335222	40.0	48711.0
ETS_142.1	92.72797888989159	52.0	280.4006922470614	30.0	87541.0
ETS_142.2	90.97679944254692	51.0	263.05038781827943	30.0	87541.0
ETS_1421.1	91.17551708487323	52.0	280.45767684626855	40.0	61692.0
ETS_1421.2	90.49633664008299	51.0	262.6956493548596	30.0	61692.0
ETS_1422.1	93.3719023051919	52.0	279.96677899382695	30.0	167665.0
ETS_1422.2	92.91265320728834	50.0	262.5613813258581	40.0	167665.0
ETS_1423.1	92.98849827799077	52.0	280.55036064721554	30.0	123112.0
ETS_1423.2	92.03002144388849	51.0	261.82732796153095	30.0	123112.0
ETS_143.1	91.6659130780778	52.0	280.8458700330976	30.0	55291.0
